model,ith run, road_block, max_speed_slow, max_speed_fast, fast_car_ratio, density, total_all_cars_distance, total_slow_cars_distance, total_fast_cars_distance, worst_case_distance_slow_cars, worst_cast_distance_fast_cars, best_case_distance_slow_car, best_case_distance_fast_car,num_slow_cars,num_fast_cars,global_speed_rule,slack,distance_look_ahead
NS,4,0,9,11,0.5,0.05,1574800,786497,788303,31419,31445,31533,32023,25,25,false,3,7
NS,0,1,3,4,0.75,0.05,513363,126355,387008,9591,9709,9868,11482,13,37,false,3,7
NS,1,1,3,4,0.75,0.05,520246,125293,394953,9474,9665,9812,11499,13,37,false,3,7
NS,2,1,3,4,0.75,0.05,519068,124657,394411,9438,9703,9773,11391,13,37,false,3,7
NS,3,1,3,4,0.75,0.05,512759,126238,386521,9591,9651,9875,10836,13,37,false,3,7
NS,4,1,3,4,0.75,0.05,517336,126509,390827,9611,9786,9929,11487,13,37,false,3,7
NS,0,0,3,4,0.75,0.05,510767,126967,383800,9626,9782,9962,10918,13,37,false,3,7
NS,1,0,3,4,0.75,0.05,520151,126307,393844,9593,9849,9901,11624,13,37,false,3,7
NS,2,0,3,4,0.75,0.05,519648,126703,392945,9654,9780,9878,11550,13,37,false,3,7
NS,3,0,3,4,0.75,0.05,518542,126634,391908,9611,9836,9905,11473,13,37,false,3,7
NS,4,0,3,4,0.75,0.05,518115,126412,391703,9600,9884,9884,11119,13,37,false,3,7
NS,0,1,3,8,0.75,0.05,643350,125369,517981,9363,11501,9831,16719,13,37,false,3,7
NS,1,1,3,8,0.75,0.05,641230,124084,517146,9389,11727,9685,16358,13,37,false,3,7
NS,2,1,3,8,0.75,0.05,634787,127266,507521,9609,10725,9908,16792,13,37,false,3,7
NS,3,1,3,8,0.75,0.05,665727,127064,538663,9550,9903,9924,17330,13,37,false,3,7
NS,4,1,3,8,0.75,0.05,635831,126424,509407,9511,10661,9885,16871,13,37,false,3,7
NS,0,0,3,8,0.75,0.05,615732,126935,488797,9658,10643,9889,14844,13,37,false,3,7
NS,1,0,3,8,0.75,0.05,620338,127489,492849,9709,10547,9920,15851,13,37,false,3,7
